1	CSE 4000	Project/Thesis	1.50
2	CSE 4105	Computer Networks	3.00
3	CSE 4106	Computer Networks Laboratory	0.75
4	CSE 4109	Artificial Intelligence	3.00
5	CSE 4110	Artificial Intelligence Laboratory	0.75
6	CSE 4111	Machine Learning	3.00
7	CSE 4112	Machine Learning Laboratory	0.75
8	CSE 4115	Computer and Network Security	3.00
9	CSE 4116	Computer and Network Security Laboratory	0.75
10	IEM 4127	Industrial Management	3.00
11	CSE 4120	Technical Writing & Seminar	0.75
12	CSE 4124	Digital System Design Laboratory	0.75
13	CSE 4127	Computer Vision & Image Processing	3.00
14	CSE 4128	Computer Vision & Image Processing Laboratory	0.75
15	CSE 4106	Computer Networks Laboratory	1.50
16	CSE 4127	Image Processing and Computer Vision	3.00
17	CSE 4128	Image Processing and computer vision Laboratory	0.75

        Theory : 21 Sessional : 7.5 Thesis/Project : 0	,
