1	CSE 2200	Advanced Programming	1.50
2	CSE 2201	Algorithm Analysis and Design	3.00
3	CSE 2202	Algorithm Analysis and Design Laboratory	1.50
4	CSE 2203	Microprocessors and Microcontrollers	3.00
5	CSE 2204	Microprocessors and Microcontrollers Laboratory	1.50
6	CSE 2207	Numerical Methods	3.00
7	CSE 2208	Numerical Methods Laboratory	0.75
8	HUM 2207	Economics and Accounting	3.00
9	MATH 2207	Complex Variable, Vector Analysis and Statistics	3.00

            Theory : 15 Sessional : 5.25 Thesis/Project : 0,
